Topic,Description,Key Subtopics,Status
"Cross-Topic / General","Surveys, textbooks and overview material that spans multiple strands.","Textbooks, introductions, overviews, reference works",Active
"Yoga, Body & Spirituality","Yoga from Patañjali to the present; haṭha yoga, tantra, modern postural yoga and its contested history; āyurveda and the body in Hindu thought.","Yoga Sūtras, haṭha yoga, tantra, modern postural yoga, āyurveda",Active
"Cosmology & Mythology","Creation hymns, cyclical time (yugas, kalpas), purāṇic cosmology, avatāra and myth theory.","Nāsadīya Sūkta, yugas, purāṇic cosmology, avatāra",Active
"Ethics & Moral Philosophy","Dharma ethics, ahiṃsā, karma and rebirth, the puruṣārthas, Gītā ethics and applied ethics.","Ahiṃsā, karma, puruṣārthas, Gītā ethics",Active
"Modern Hinduism & Diaspora","Reform movements, Hindutva debates, diaspora communities and temple-building in the West.","Reform movements, Vivekananda, Hindutva debates, UK diaspora",Active
"History of Hinduism","Historical development from the Indus Valley to the present, including historiographical debates and contested narratives.","Survey history, colonial period, modern reform, historiography",Active
"Ritual & Practice","Pūjā, saṃskāras, festivals, pilgrimage, temple ritual, domestic worship, food and purity.","Pūjā, saṃskāras, festivals, pilgrimage",Active
"Deity & Devotional Traditions","Vaiṣṇava, Śaiva and Śākta traditions; bhakti poets; iconography and darśan.","Bhakti, Vaiṣṇava/Śaiva/Śākta, iconography, darśan",Active
"Hindu Philosophy & Darshanas","The six classical schools and later developments: Vedānta, Sāṃkhya, Yoga, Nyāya, Vaiśeṣika, Mīmāṃsā.","Vedānta schools, Sāṃkhya-Yoga, epistemology",Active
"Vedas & Sacred Texts","The Vedic corpus and wider śruti/smṛti literature: composition, cosmology, ritual and transmission.","Rigveda, Upanishads, śruti vs smṛti, oral transmission",Active
"Dharma, Varna, Caste & Social Ethics","Dharma as cosmic and social order; varṇāśrama; caste and its critiques; reform movements from Gandhi to Ambedkar.","Dharmaśāstra, Varṇāśrama, Ashramas, Caste critique, Gandhi & reform, Ambedkar",Active
"Sacred Geography, Temples & Pilgrimage","Tīrtha, temple culture and the sacred landscape of India and the diaspora.","Tīrtha, temple architecture, diaspora temples",Seed
"Epics & Purāṇas","Mahābhārata, Rāmāyaṇa and Purāṇic literature; narrative, ethics and popular reception.","Mahābhārata, Rāmāyaṇa, Bhagavad Gītā, Purāṇas",Seed
