Name,Category,Perspective,Specialism,Institution / Affiliation,Notable Works,X/Twitter Handle,Website,Credibility Notes,Added By
"Edwin F. Bryant","Scholar / Academic","Academic / Critical","Yoga Sūtras, Hindu philosophy, Krishna traditions","Rutgers University","The Yoga Sūtras of Patañjali (trans.); Krishna: A Sourcebook",,https://www.edwinbryant.org,"PhD Indology (Columbia); respected in both academic and practitioner yoga communities — unusually well-bridged voice.",
"Barbara Stoler Miller","Scholar / Academic","Academic / Critical","Sanskrit literature, Yoga Sūtras, Bhagavad Gītā","Barnard College, Columbia (d. 1993)","Yoga: Discipline of Freedom; The Bhagavad-Gita (trans.)",,,"One of the leading Sanskrit translators of her generation; her Gītā is a recognised classic.",
"James Mallinson","Scholar / Academic","Academic / Critical","Haṭha yoga, Sanskrit manuscripts, ascetic traditions","SOAS / Oxford","Roots of Yoga; Haṭha Yoga Project critical editions",,https://www.soas.ac.uk/about/james-mallinson,"Leading authority on haṭha yoga's textual history; also an initiated mahant in the Rāmānandī order — scholar-practitioner.",
"Mark Singleton","Scholar / Academic","Academic / Critical","Modern postural yoga, yoga history","SOAS","Yoga Body; Roots of Yoga",,,"His Yoga Body thesis reshaped the field and remains contested — know both the argument and the Hindu critiques of it.",
"Andrea R. Jain","Scholar / Academic","Academic / Critical","Modern yoga, religion and consumer culture","Indiana University Indianapolis","Selling Yoga; Peace Love Yoga",,,"Peer-reviewed scholar of yoga's commercialisation; critical of both commodification and nationalist origin claims.",
"Elizabeth De Michelis","Scholar / Academic","Academic / Critical","Modern yoga studies, Western esotericism","Formerly University of Cambridge","A History of Modern Yoga",,,"Founded modern yoga studies as a subfield; her fourfold typology of Modern Yoga is standard reference.",
"Pancham Sinh","Author","Academic / Critical","Sanskrit translation (early 20th century)","Panini Office, Allahabad","The Hatha Yoga Pradipika (trans., 1915)",,,"Public-domain colonial-era translator; serviceable free text but terminology is dated — check against modern scholarship.",
"SOAS Hatha Yoga Project","Organisation","Academic / Critical","History of physical yoga: philology and ethnography","SOAS, University of London (ERC-funded)","Critical editions and translations of ten haṭha yoga texts",,http://hyp.soas.ac.uk/,"Major peer-reviewed research project (2015–20); outputs freely available.",
"The British Museum","Organisation","Public / Accessible","South Asian art and material religion","British Museum","Tantra: enlightenment to revolution (exhibition, 2020)",,https://www.britishmuseum.org,"World-class curation (South Asia curator Imma Ramos); note ongoing debates about colonial-era collections.",
"Smithsonian National Museum of Asian Art","Organisation","Public / Accessible","Asian art, yogic visual culture","Smithsonian Institution","Yoga: The Art of Transformation (exhibition, 2013)",,https://asia.si.edu,"First major museum treatment of yoga's visual history; reliable public scholarship.",
"Wellcome Collection","Organisation","Public / Accessible","History of medicine, including āyurveda","Wellcome Trust, London","Ayurvedic Man: Encounters with Indian Medicine (exhibition)",,https://wellcomecollection.org,"Strong free online resources on Indian medical traditions from a history-of-medicine angle.",
"B.K.S. Iyengar","Author","Traditional / Practitioner","Āsana practice, Iyengar yoga method","Ramamani Iyengar Memorial Yoga Institute, Pune (d. 2014)","Light on Yoga; Light on Prāṇāyāma",,https://bksiyengar.com,"The most influential yoga teacher of the 20th century; practitioner authority, not academic scholarship.",
"T.K.V. Desikachar","Author","Traditional / Practitioner","Viniyoga, Krishnamacharya lineage","Krishnamacharya Yoga Mandiram, Chennai (d. 2016)","The Heart of Yoga",,,"Son and student of Krishnamacharya; transmits the lineage behind much of modern yoga from inside.",
"Christopher D. Wallis","Author","Traditional / Practitioner","Śaiva tantra, Sanskrit, meditation","Independent (PhD Berkeley)","Tantra Illuminated; The Recognition Sutras",,https://hareesh.org,"Scholar-practitioner: trained academically but writes devotionally for practitioners; not peer-reviewed.",
"Bihar School of Yoga","Organisation","Traditional / Practitioner","Satyananda yoga tradition, yoga education","Munger, Bihar (founded 1963)","Yoga Magazine; Asana Pranayama Mudra Bandha",,http://www.yogamag.net/,"Major living Indian yoga institution; single-lineage perspective with decades of free archives.",
"Hindu American Foundation","Organisation","Reform / Neo-Hindu","Hindu advocacy, yoga's Hindu roots","Washington DC","Hindu Roots of Yoga / Take Back Yoga campaign",,https://www.hinduamerican.org,"Advocacy organisation, not scholarship — politically engaged and contested, but a key voice in the yoga-ownership debate.",
"Oxford Centre for Hindu Studies","Organisation","Academic / Critical","Hindu studies teaching and research","Oxford (Recognised Independent Centre)","OCHS lecture podcast archive; OCHS Online courses",,https://ochs.org.uk,"Your own institution — in-house lectures and courses; academically grounded with practitioner sensitivity.",
"TED-Ed","Organisation","Public / Accessible","Educational animation","TED","TED-Ed lessons",,https://ed.ted.com,"High production educational shorts; reliable for orientation, always check the named author of each lesson.",
"Revision World","Organisation","Public / Accessible","UK exam revision resources","Independent (UK)","GCSE/A-Level Religious Studies revision pages",,https://revisionworld.com,"Exam-focused summaries; useful scaffolding, not a citable source.",
