Name,Category,Perspective,Specialism,Institution / Affiliation,Notable Works,X/Twitter Handle,Website,Credibility Notes,Added By
"Wendy Doniger","Scholar / Academic","Academic / Critical","History of Hinduism, Sanskrit, mythology","University of Chicago","The Hindus: An Alternative History; The Rig Veda (trans.)",,https://divinity.uchicago.edu,"Eminent but contested — important to know both the scholarship and Hindu critiques.","Gopinath"
"Devdutt Pattanaik","Author","Popular / Accessible","Hindu mythology, management philosophy, modern retelling","Independent","Myth = Mithya; 7 Secrets series; Business Sutra",@devdutt,https://devdutt.com,"Hugely accessible for 16–18 audience; practitioner perspective; not peer-reviewed.","Gopinath"
"Patrick Olivelle","Scholar / Academic","Academic / Critical","Dharmaśāstra, Sanskrit texts, Manu, Kautilya","University of Texas at Austin","Laws of Manu (trans.); Arthashastra (trans.)",,https://liberalarts.utexas.edu,"Definitive English translations of key legal texts.","Anu"
"B.R. Ambedkar","Author","Reform / Neo-Hindu","Caste critique, Buddhism, Dalit philosophy","Columbia / Govt of India","Annihilation of Caste; The Buddha and His Dhamma",,https://drambedkar.co.in,"Essential voice for caste strand — Dalit critique from within Indian tradition.","Gopinath"
"Diana Eck","Scholar / Academic","Academic / Critical","Hindu sacred geography, pluralism, diaspora","Harvard University","Darsan: Seeing the Divine Image; A New Religious America",,https://pluralism.org,"Strong on pilgrimage, temple, visual culture.","Arya"
"Gavin Flood","Scholar / Academic","Academic / Critical","Hindu studies, Shaivism, phenomenology","Oxford University","An Introduction to Hinduism; The Blackwell Companion to Hinduism",@GavinFlood,https://theology.ox.ac.uk,"Standard academic introduction — good for A-Level curriculum mapping.","Gopinath"
"TrueIndology","Commentator","Traditional / Practitioner","Historical accuracy, primary sources, fact-checking","Independent (Twitter/X)","Twitter threads",@TrueIndology,,"Useful for sourcing and correcting misconceptions; anonymous, so claims need independent verification before citing.","Gopinath"
"Hillary Rodrigues","Scholar / Academic","Academic / Critical","Hinduism survey texts, ritual studies, goddess worship","University of Lethbridge","Introducing Hinduism; Ritual Worship of the Great Goddess",,,"Widely used university-level survey textbook author.","Arya"
"BBC Education","Organisation","Public / Accessible","Educational broadcasting, classroom resources","BBC","BBC Teach; BBC Bitesize religious studies",,https://www.bbc.co.uk/teach,"Reliable for introductory classroom material; UK curriculum aligned.","Anu"
"ISKCON Educational Services","Organisation","Traditional / Practitioner","Gaudiya Vaishnava educational resources","ISKCON","Heart of Hinduism website",,https://iskconeducationalservices.org,"Practitioner perspective from one tradition (Gaudiya Vaishnava) — useful but not representative of all Hinduism.","Arya"
"Jayaram V","Author","Popular / Accessible","General Hinduism essays and reference articles","Hinduwebsite.com (independent)","Hinduwebsite.com",,https://www.hinduwebsite.com,"Prolific independent writer; introductory quality, no peer review — verify before citing.","Arya"
"Jessica Whittemore","Educator","Popular / Accessible","History and religious studies teaching videos","Study.com","Study.com lesson videos",,https://study.com,"Commercial educational content; fine for orientation, not for citation.","Arya"
"Gandhi (1982 Film)","Media / Film","Public / Accessible","Dramatised biography of M.K. Gandhi","Columbia Pictures (dir. Richard Attenborough)","Gandhi (1982)",,,"Dramatisation, not a documentary — check copyright before classroom use of clips.","Arya"
